id,nombre,c_minimos
1,administracion base datos , administracion y arquitectura sistemas gestores bases datos  bases datos distribuidas y paralelas optimizacion diseño fisico y objetos y estructuras avanzadas  gestion bases datos administracion base datos 
2,administracion sistemas operatos , sistemas operatos escritorio  servicios basico sistema operato servicios avanzado sistema operato  proteccion y seguridad v introduccion a virtualizacion administracion sistemas operatos 
3,algebra lineal , matrices y determinantes  sistemas ecuaciones lineales vectores r^y r^ espacios vectoriales y productonterno v transformaciones linealesvalores y vectores caracteristicos algebra lineal 
4,aplicaciones empresariales , librerias y frameworks  desarrollo aplicaciones con framework diseño experiencia usuario (ux)  prueba software aplicaciones empresariales 
5,aplicaciones moviles , arquitectura android y entorno desarrollo  implementacion interfaces usuario manejo archos consumo servicios web y base datos  aplicaciones moviles avanzadas aplicaciones moviles 
6,bases datos , fundamentos bases datos relacionales  diseño y modelo datos lenguaje sql definicion dedatos manipulacion datos  normalizacion bases datos 
7,calculo varias variables, calculo integral funciones varias variables sucesiones y series infinitas  funciones varias variables calculo diferencial e varias variables  calculo integral funciones varias variables 
8,calculo variable , conjuntos desigualdades yfunciones reales  limites y continuidad deunciones reales deracion funciones reales  integracion funciones reales calculo variable 
9,computacion sociedad , etica y moral profesional  pracidad propiedad intelectual tecnologias informacion derechos y responsabilidad ciudadanos computacion sociedad 
10,comunicacion y lenguaje , saber escuchar  saber hablar saber leer  saber redactar comunicacion y lenguaje 
11,desarrollo aplicaciones web , programacion web cliente  programacion web servidor servicios web y manejo estados  sistema control versiones desarrollo aplicaciones web 
12,desarrollo trabajo titulacion , elaboracion estudios trabajo titulacion  fundamentos y argumentos propuesta presentacion propuesta titulacion desarrollo trabajo titulacion 
13,dessarrolo sistemas informaticos , desarrollo software  desarrollo sistema y bases dedatos introduccion a aplicaciones web  estilo documento web dessarrolo sistemas informaticos 
14,electricidad y magnetismo , electrostatica  electrodinamica electromagnetismo electricidad y magnetismo 
15,emprendimieno e innovacion , forjadores empresa  empresa y sus generalidades creatidad fomentar emprendimiento  herramientas emprender emprendimieno e innovacion 
16,escalabilidad redes , comunicaciones inalambricas y wlan  redes celulares nueva generacion protocolo ospf multiples areas protocolo stp protocolo is-isprotocolo bgp  calidad servicio (qos) escalabilidad redes 
17,estadistica , estadistica descripta  probabilidades variable aleatoria  inferencia estadistica v regresion lineal estadistica 
18,estructura datos , tipos datos  listas pilas y colas  conjuntos y mapas v arboles y grafos estructura datos 
19,fisica , cinematica particula enuna y dos dimensiones  leyes movimiento trabajo y energia  impulso y cantidad movimiento fisica 
20,fundamentos programacion , algoritmos y diagramas flujos  introduccion a programacion arreglos n-dimensionales  funciones colecciones y archos fundamentos programacion 
