id,nombre
1,administracion base datos 
2,administracion sistemas operatos 
3,algebra lineal 
4,aplicaciones empresariales 
5,aplicaciones moviles 
6,bases datos 
7,calculo varias variables
8,calculo variable 
9,computacion sociedad 
10,comunicacion y lenguaje 
11,desarrollo aplicaciones web 
12,desarrollo trabajo titulacion 
13,dessarrolo sistemas informaticos 
14,electricidad y magnetismo 
15,emprendimieno e innovacion 
16,escalabilidad redes 
17,estadistica 
18,estructura datos 
19,fisica 
20,fundamentos programacion 
21,fundamentos sistemas digitales 
22,fundamentos tecnologias informacion 
23,gestion proyectos ti
24,gestion redes 
25,gobierno ti 
26,interaccion humano computador 
27,informatica forence 
28,ingenieria software 
29,instalaciones electricas y cableado estructurado 
30,introduccion a investigacion cientifica 
31,matematicas discretas 
32,metodos numericos 
33,mineria datos 
34,programacion orientada a objetos 
35,realidad socioeconomica cultura y ecologia ecuador 
36,redes computadoras 
37,redes inalambricas sensores 
38,redes transporte 
39,seguridad informatica 
40,seminario titulacion 
41,sistemas digitales 
42,sistemas distribuidos 
43,sistemas embebidos 
44,sistemas getion seguridad informacion 
45,sistemas operatos 
46,tecnologias commutacion y enrutamiento 
47,tecnologias redes futuro 
